epoch,acc,loss,lr,val_acc,val_loss
0,0.7758862407370318,0.5977036949450808,1e-04,0.9016786570743405,0.24697285223869844
1,0.8856,0.3194724494308233,1e-04,0.9328537170263789,0.18511995304224016
2,0.9094732625675946,0.26277377867529156,1e-04,0.926458832933653,0.2184035779623915
3,0.9341077508511917,0.18867409679551486,1e-04,0.9240607513988809,0.21772142184968424
4,0.9427198077308232,0.16605929359450455,1e-04,0.9456434852118305,0.1468095922065403
5,0.9539355097135991,0.13938600456966216,1e-04,0.9440447641886491,0.17880105445750333
6,0.9621470058081314,0.11985164634986366,1e-04,0.9528377298161471,0.17761713975473203
7,0.9625475665932305,0.10882616874081247,1e-04,0.947242206235012,0.19722756812638184
8,0.9681554175846184,0.10388354130198214,1e-04,0.9440447641886491,0.16837364461177665
9,0.9729621470058082,0.08345647632634394,1e-04,0.9448441247002398,0.1613112258861477
10,0.973963548968556,0.08023435162397498,1e-04,0.9368505195843325,0.21132589068858781
11,0.9773683156418986,0.07262908106005006,1e-04,0.9248601119104716,0.28546613175891894
12,0.9841778489885841,0.05241652035521671,1e-05,0.9488409272581935,0.14387923922204632
13,0.9879831764470258,0.037741372743900325,1e-05,0.950439648281375,0.15061534983497615
14,0.9919887842980172,0.02558234564668277,1e-05,0.9520383693045563,0.14605179344073577
15,0.9915882235129181,0.025619942437217234,1e-05,0.95603517186251,0.14269433502883333
16,0.9917885039054677,0.02384127367926911,1e-05,0.9536370903277378,0.15229039665573393
17,0.9913879431203685,0.022418417503255506,1e-05,0.9568345323741008,0.14301616745418735
18,0.9943921490086121,0.02025475992582684,1e-05,0.9568345323741008,0.14802112052862018
19,0.9937913078309634,0.017996825979141776,1e-05,0.9576338928856915,0.14539625970123404
20,0.9951932705788104,0.01677420464598557,1e-05,0.9600319744204636,0.15227451702192515
21,0.9951932705788104,0.013921491223754036,1e-05,0.9576338928856915,0.1601240231933019
22,0.9937913078309634,0.018500816909166475,1e-05,0.9576338928856915,0.1540378899180585
